ID;Tipo Defeito;Status;Squad;Nome;Sistema;Comunidade;Alvo;Criticidade;Criado Por;Data Criacao Item Backlog;Data Resolucao Item Backlog;Qtd
23056599;Defeito;Em Refinamento;MP012 - CARTÃO DE CRÉDITO - SUSTENTAÇÃO;Zabbix-CTMA-SIPCS-PCS9CX67-OB390;SIPCS;Meios de Pagamento;Sem Atuação da GEQTI;Q2;Marcos Daniel Freitas Hortelao Oliveira;45769;;1
23056523;Defeito;Em Desenvolvimento;DC025 - Squad 4 - TTarifas - SIDCE;"GEFAC02 - Defeito - Campos ""CO_OPERACAO_DESTINO"" e ""NO_CLIENTE_DESTINO"" não gravados na tabela [DCETB084_SISPI_API]";SIDCE;Depósitos e Captação;Sem Atuação da GEQTI;Q1;Felipe Soares Lopes;45769;;1
23050985;Defeito;Implantado;RC031 - Risco - Pesquisa Cadastral e Relacional;CORREÇÃO CTRLM-SIARA-ARA80MZA-ROTINA COM ABEND ID UGWRZ;SIARA;Risco, Compliance e Adimplência;Certificação;Q4;Lilian Paula Prado Gomes Leitao;45766;45771;1
23047833;Defeito;Implantado;CR044 - SIAPX - Manutenção de Crédito Consignado;SID05 - J=D05PCAPX RC=21 PS=N/A JS=ST01PPCR JN=248632;SIAPX;Crédito Comercial e Agronegócio;Sem Atuação da GEQTI;Q1;Marcelo Essaki de Vasconcelos;45765;45770;1
23047422;Defeito;Preparado;;INC000009496602 - Zabbix-CTMA-SIPCS-PCS1C99M-OAPBZ;SIPCS;Meios de Pagamento;Sem Atuação da GEQTI;Q2;Paulo Ricardo Santos Barbosa;45765;;1
23047067;Defeito;Implantado;DC012 - Sustentação NSGD BR;SID52 - J=D52TCT91 RC=55 PS=N/A JS=ST01PL75 JN=233835;SID52;Depósitos e Captação;Sem Atuação da GEQTI;Q3;Jose Frederico Rodrigo Wickert;45765;45769;1
23046809;Defeito;Aceito;CI021 - NOVO RENDA FIXA (SIIFX SQ-SUSTENTAÇÃO);Defeito (PRD) - IFX_102_VALIDA_DATA_MOVIMENTO;SIIFX;Câmbio, Investimentos e Mercado de Capitais;Certificação;Q3;Ubirajara Bandeira Barros;45765;;1
23046536;Defeito;Novo;;Zabbix-CTMB-SICCR-CCR_ENVIAR_CONTRATOS_CANCELAMENTO_SIAPX-26d9x;SICCR;Crédito Comercial e Agronegócio;Certificação;Q3;Samantha Costa Giraldi;45764;;1
23046265;Defeito;Novo;;SIFDL -  Baixa Efetividade;SIFDL;Meios de Pagamento;Sem Atuação da GEQTI;Q1;Paulo Ricardo Santos Barbosa;45764;;1
23046259;Defeito;Em Refinamento;AI010 - Originação;BEMPF04 - Erro 30085 não identificado - REQ000139197404;SIACI;Administração do Crédito Imobiliário;Sem Atuação da GEQTI;Q3;Cristina Maione Ibiapina;45764;;1
23046252;Defeito;Pronto;CD037 - SAC;SISOU - Defeitos encontrados na API intranet;SISOU;Clientes;Sem Atuação da GEQTI;Q3;Marcio Augusto Soeiro;45764;;1
23046170;Defeito;Novo;DC009 - Squad 4 Sustentação - LCR - NSGD BR;LCR - Erro ao tentar liquidar contrato;SILCR;Depósitos e Captação;Certificação;Q3;Cezario Rodrigues da Costa Neto;45764;;1
23046022;Defeito;Implantado;AC002 - Débito;SIACC - DEBAUT - INC000009485367 - Alteração da orientação presente no ST27P939 da PROC ACCPC0R7;SIACC;Arrecadação e Convênios;Sem Atuação da GEQTI;Q4;Rodrigo Goncalves de Moraes Silva;45764;45776;1
23046019;Defeito;Pronto;FG012 - Cadastro;SISFG - Abend SFG9AL04 - INC000009494308;SISFG;Fundos de Governo;Sem Atuação da GEQTI;Q1;Julia Maria Ferreira Lima;45764;;1
23045887;Defeito;Em Refinamento;;Zabbix-CTMA-SIPCS-PCS8S022-OAYRB;SIPCS;Meios de Pagamento;Sem Atuação da GEQTI;Q2;Maria Diva da Silva;45764;;1
23045798;Defeito;Implementado;MP012 - CARTÃO DE CRÉDITO - SUSTENTAÇÃO;Zabbix-CTMA-SIPCS-PCS8S022-OAYRB;SIPCS;Meios de Pagamento;Sem Atuação da GEQTI;Q2;Maria Diva da Silva;45764;;1
23045793;Defeito;Aceito;CR018 - SICDC Crédito Direto CAIXA;GEFCO08 - SICDC - DEFEITO - AJUSTAR TABELA 16 UTILIZAÇÃO SISTEMA ABEND CAMPO NULO  - IMPORTANTE;SICDC;Crédito Comercial e Agronegócio;Sem Atuação da GEQTI;Q3;Valeria Fernandes Gomes;45764;;1
23045777;Defeito;Em Refinamento;MP007 - CARTÃO DE CRÉDITO - CADASTRO;CECOP08_GECOP05_SIPCS_DESSINCRONIZAÇÃO BASES CADASTRAIS SIPCS X SIPDC;SIPCS;Meios de Pagamento;Sem Atuação da GEQTI;Q2;Diogenes Marcelo Carvalho;45764;;1
23045737;Defeito;Preparado;CD041 - Corregedoria;Erro - Anp - Cadastro de ANAPRE com mesma numeração em duplicidade;SIDIS;Clientes;Sem Atuação da GEQTI;Q1;Geraldo Faria de Oliveira Junior;45764;;1
23045717;Defeito;Novo;FG013 - SIDFG;SIDFG/GETRA06 - Defeito - falta da gravação do histórico da inclusão da situação de conclusão do pedido de repasse por esta funcionalidade;SIDFG;Fundos de Governo;Sem Atuação da GEQTI;Q1;Rafael Cibella Shibuya;45764;;1
23045570;Defeito;Novo;CR017 - SIGEC Comercial;SIGEC COM - DEFEITO - Reprocessamento dos arquivos;SIGEC;Crédito Comercial e Agronegócio;Sem Atuação da GEQTI;Q2;Jander Ricardo Garcia Marques;45764;;1
23045545;Defeito;Em Refinamento;MP012 - CARTÃO DE CRÉDITO - SUSTENTAÇÃO;Erro no SMS de Desconto de Anuidade para cartão de crédito titular e adicional;SIPCS;Meios de Pagamento;Sem Atuação da GEQTI;Q2;Margareth Medeiros Marques de Oliveira;45764;;1
